name,price,above_100,first_name,last_name
Jeremy Rodriguez,200.7248208,True,Jeremy,Rodriguez
April Garcia,66.24555967,False,April,Garcia
Zachary Watts,15.49738786,False,Zachary,Watts
Sarah Montoya,206.8212547,True,Sarah,Montoya
Jennifer Barker,89.18615989,False,Jennifer,Barker
Sharon Garza,72.35772704,False,Sharon,Garza
Tiffany Stevens,196.379322,True,Tiffany,Stevens
Ruben Armstrong,93.69836738,False,Ruben,Armstrong
Dr. Jeffrey Spencer,271.162282,True,Jeffrey,Spencer
Nicole Ramsey,247.8596071,True,Nicole,Ramsey
Anne Roy,277.9324821,True,Anne,Roy
Lori Sanchez,285.6616405,True,Lori,Sanchez
Allison Chavez,126.850211,True,Allison,Chavez
Marcus Adams,36.47040894,False,Marcus,Adams
Mary Smith,16.31507197,False,Mary,Smith
Joseph Reed,178.4576742,True,Joseph,Reed
Jason Armstrong,26.04525746,False,Jason,Armstrong
Jeff Armstrong,88.47561284,False,Jeff,Armstrong
Sean Shields,247.8395255,True,Sean,Shields
Jessica Allison,104.742308,True,Jessica,Allison
Christian Grant,99.11707917,False,Christian,Grant
Edward Watson,180.3535589,True,Edward,Watson
Derrick Cooke,142.090116,True,Derrick,Cooke
Arthur Hall MD,235.9669749,True,Arthur,Hall
Sean Patrick,139.4507994,True,Sean,Patrick
Heather Collins,127.3925734,True,Heather,Collins
Megan Gomez,107.8624451,True,Megan,Gomez
William Hale,114.6709254,True,William,Hale
Olivia Thompson,8.608441014,False,Olivia,Thompson
Lori Torres,18.85827433,False,Lori,Torres
Vickie Hernandez,214.9321807,True,Vickie,Hernandez
Kimberly Brown,40.3199327,False,Kimberly,Brown
Sherry Meza,182.8545499,True,Sherry,Meza
Phillip Hansen,44.11611704,False,Phillip,Hansen
Jeanette Knight,28.68694329,False,Jeanette,Knight
Kayla Hanson,27.63036397,False,Kayla,Hanson
James Johnston,284.4290554,True,James,Johnston
Dr. John Porter,53.72799274,False,John,Porter
Elizabeth Reyes,93.68075684,False,Elizabeth,Reyes
Kristen Henry,77.00624357,False,Kristen,Henry
Claudia Anderson,160.3401593,True,Claudia,Anderson
Nicholas Webb,18.71038619,False,Nicholas,Webb
Allison Cooper,206.0421068,True,Allison,Cooper
Zachary Barnes,280.7741315,True,Zachary,Barnes
Gregory Hill III,265.9765808,True,Gregory,Hill
Terry Ayers,16.51163899,False,Terry,Ayers
Jessica Wilson,290.4095461,True,Jessica,Wilson
Daniel Frazier,190.3291917,True,Daniel,Frazier
Brian Welch,218.2505083,True,Brian,Welch
Carol Chavez,123.1834427,True,Carol,Chavez
Ethan Mcdonald,214.3503174,True,Ethan,Mcdonald
Gerald Martinez,57.54786356,False,Gerald,Martinez
Eric King,59.87926423,False,Eric,King
Sylvia Walters,110.9463132,True,Sylvia,Walters
Jonathan Lane,64.46710142,False,Jonathan,Lane
Matthew Turner,180.2628702,True,Matthew,Turner
Jeffrey Bauer,30.51584181,False,Jeffrey,Bauer
Jessica Shaffer,54.90193651,False,Jessica,Shaffer
Chris Spencer,251.3752831,True,Chris,Spencer
Mary Clarke,236.0529879,True,Mary,Clarke
Timothy Mendoza,105.9834816,True,Timothy,Mendoza
Alicia Hoffman,182.343699,True,Alicia,Hoffman
Joseph Gardner,144.8091344,True,Joseph,Gardner
Rachael Rangel,297.9496406,True,Rachael,Rangel
Jeffrey Harrington,194.2716338,True,Jeffrey,Harrington
Sophia Randolph,158.543126,True,Sophia,Randolph
Debbie Freeman,275.8719167,True,Debbie,Freeman
Matthew Braun,201.7749657,True,Matthew,Braun
Sheri Hudson,268.3748402,True,Sheri,Hudson
Mary King,204.0785754,True,Mary,King
Beth Davis,155.0680648,True,Beth,Davis
Margaret Castillo,193.9063244,True,Margaret,Castillo
Tommy Sandoval,172.283041,True,Tommy,Sandoval
Christopher Hines,46.55435299,False,Christopher,Hines
Richard Wright,208.3596969,True,Richard,Wright
Michael Brown,278.5230886,True,Michael,Brown
Nathan Yu,134.1895098,True,Nathan,Yu
Cameron Ford,248.8921382,True,Cameron,Ford
Carla Hayes,265.3745759,True,Carla,Hayes
Marissa Matthews,136.0925777,True,Marissa,Matthews
Dr. Samuel Thompson,237.1592416,True,Samuel,Thompson
Gary Figueroa,168.9447684,True,Gary,Figueroa
Michael West,146.8886849,True,Michael,West
Martin Walton,140.3400576,True,Martin,Walton
Zachary Lee,8.667301583,False,Zachary,Lee
Christopher Stephenson,67.01185633,False,Christopher,Stephenson
Eric Ortiz,117.7242458,True,Eric,Ortiz
Kara Pittman,56.23964364,False,Kara,Pittman
Andrew Cowan,295.9391812,True,Andrew,Cowan
Rhonda Moss DDS,259.0397505,True,Rhonda,Moss
Sarah Williams,92.82627714,False,Sarah,Williams
Carolyn Collins,236.2472888,True,Carolyn,Collins
Larry Mooney,135.2701794,True,Larry,Mooney
Laura Livingston,294.2580699,True,Laura,Livingston
Candace Mckenzie,84.58145758,False,Candace,Mckenzie
Candace Wallace,124.7464543,True,Candace,Wallace
Jason White,218.4318041,True,Jason,White
Patricia Reynolds,89.01176826,False,Patricia,Reynolds
Michael Ellison,244.4717106,True,Michael,Ellison
Melissa Robles,238.4560967,True,Melissa,Robles
Heidi Fry,109.6264717,True,Heidi,Fry
James Smith,163.9573856,True,James,Smith
Charles Ruiz,48.45811847,False,Charles,Ruiz
Stephanie Green DDS,9.144974191,False,Stephanie,Green
Stacey Garcia,106.6192039,True,Stacey,Garcia
Glenda Burke,206.3635063,True,Glenda,Burke
Zachary Alvarez,104.052369,True,Zachary,Alvarez
Rachel Shaw,2.448211506,False,Rachel,Shaw
Carmen Beard,269.623685,True,Carmen,Beard
Tony Daniels,186.9035775,True,Tony,Daniels
Randy Mora,70.74105982,False,Randy,Mora
George Aguirre,128.9497508,True,George,Aguirre
James Miller,297.0405639,True,James,Miller
Jacqueline Williams,17.30622156,False,Jacqueline,Williams
April Taylor,121.2898903,True,April,Taylor
Robert Johnson,131.6237779,True,Robert,Johnson
Gary White,280.9706506,True,Gary,White
Kim Lowe,192.7758756,True,Kim,Lowe
Samantha Jones,136.3415564,True,Samantha,Jones
Randy Lozano,16.30104965,False,Randy,Lozano
Arthur Chavez,6.903795238,False,Arthur,Chavez
Melissa Miller,162.6066945,True,Melissa,Miller
Leslie Mccormick,282.5021066,True,Leslie,Mccormick
Carlos Rubio,63.21802404,False,Carlos,Rubio
David York,86.53219266,False,David,York
Gabriella Anthony,7.638645405,False,Gabriella,Anthony
Olivia Poole,117.854172,True,Olivia,Poole
Wayne Wilson,74.67047228,False,Wayne,Wilson
Elizabeth Moore,267.3988136,True,Elizabeth,Moore
Janice Campbell,33.4533981,False,Janice,Campbell
Julie Johnson,63.64156782,False,Julie,Johnson
Misty Cantrell,189.0392091,True,Misty,Cantrell
Robert Soto,109.0138357,True,Robert,Soto
Brenda Cowan,60.84957659,False,Brenda,Cowan
Kelly Guerrero,259.5112157,True,Kelly,Guerrero
David Nichols,19.48524858,False,David,Nichols
Kayla Taylor,186.2356283,True,Kayla,Taylor
Antonio Garcia,125.4772126,True,Antonio,Garcia
Tyler Cisneros,186.5898295,True,Tyler,Cisneros
Jillian Crawford,158.8172773,True,Jillian,Crawford
Karl Pierce,132.7746811,True,Karl,Pierce
Joann Taylor,276.9621962,True,Joann,Taylor
Jennifer Jenkins,59.12858208,False,Jennifer,Jenkins
Nancy Brown,78.87073418,False,Nancy,Brown
Emma Munoz,120.8428757,True,Emma,Munoz
Shawn Galloway,141.0298622,True,Shawn,Galloway
Melissa Mcguire,213.0821204,True,Melissa,Mcguire
Bryan Chavez,125.396156,True,Bryan,Chavez
Fernando Salazar,256.1537305,True,Fernando,Salazar
Megan Moore,251.3477985,True,Megan,Moore
Robert Williams,175.209725,True,Robert,Williams
Dennis Sanford,29.45043264,False,Dennis,Sanford
Kimberly Herrera,154.8076505,True,Kimberly,Herrera
Gloria Potts,289.1049353,True,Gloria,Potts
Suzanne Barnett,8.470995351,False,Suzanne,Barnett
Leah Myers,44.5579739,False,Leah,Myers
Kylie Thomas,13.45341602,False,Kylie,Thomas
Amanda Murphy,50.55321552,False,Amanda,Murphy
Christopher Matthews,282.3634971,True,Christopher,Matthews
Nicole Parks,52.28399767,False,Nicole,Parks
Bobby Martin,205.4899695,True,Bobby,Martin
Kevin Chambers,121.1711016,True,Kevin,Chambers
Kimberly Lawson,250.2880742,True,Kimberly,Lawson
Rachel Lopez,101.8881123,True,Rachel,Lopez
Christopher Clay,219.3845088,True,Christopher,Clay
Daniel Martin,0.30019336,False,Daniel,Martin
William Taylor,66.55747014,False,William,Taylor
Steven Johnson,111.293282,True,Steven,Johnson
Daniel Miller,80.57756789,False,Daniel,Miller
Taylor Bryant,187.6315408,True,Taylor,Bryant
Lauren Jones,194.7926312,True,Lauren,Jones
Lindsey Robertson,22.73764686,False,Lindsey,Robertson
Allison Thomas,168.3334975,True,Allison,Thomas
Vernon Bishop,216.1870446,True,Vernon,Bishop
Susan Parsons,132.918526,True,Susan,Parsons
Brady Snyder,210.3960863,True,Brady,Snyder
Brent Mcgrath,174.6983567,True,Brent,Mcgrath
Peter Smith,278.6080181,True,Peter,Smith
Deborah Fox,248.1228234,True,Deborah,Fox
Heather Collins,147.4274074,True,Heather,Collins
Phillip Meyers,102.7977472,True,Phillip,Meyers
Nicholas Hubbard,275.4008364,True,Nicholas,Hubbard
Misty Ramirez,62.31681444,False,Misty,Ramirez
Scott Johnson,85.87388958,False,Scott,Johnson
Jay Nixon,253.4674787,True,Jay,Nixon
Tony Hall,61.19716522,False,Tony,Hall
Taylor Smith,41.49264584,False,Taylor,Smith
Mark Reynolds,70.49794436,False,Mark,Reynolds
Marilyn Christensen,155.4854533,True,Marilyn,Christensen
Denise Atkins,185.451601,True,Denise,Atkins
Melissa Gonzales,228.0025997,True,Melissa,Gonzales
Henry Hoffman,229.6628876,True,Henry,Hoffman
Daisy Davenport,59.52753518,False,Daisy,Davenport
Christopher Paul,122.7131699,True,Christopher,Paul
Kevin Craig,148.2010516,True,Kevin,Craig
Natalie Coleman,122.1440452,True,Natalie,Coleman
Jeremy Strickland,130.8435662,True,Jeremy,Strickland
Gary Bonilla,162.6152534,True,Gary,Bonilla
Amanda Richards,236.5957164,True,Amanda,Richards
Heidi Perez,245.1757228,True,Heidi,Perez
Robert Johnson,174.6922346,True,Robert,Johnson
Gary Mills,183.8363212,True,Gary,Mills
Chelsea Caldwell,16.12083718,False,Chelsea,Caldwell
John Frye,223.2774175,True,John,Frye
Michael Strong,220.4122322,True,Michael,Strong
Christopher Delgado,85.78279752,False,Christopher,Delgado
Whitney Wallace,253.4556183,True,Whitney,Wallace
Rebecca Martinez,59.68320226,False,Rebecca,Martinez
Marissa Mccoy,116.9634653,True,Marissa,Mccoy
Ricky Kerr,38.99584409,False,Ricky,Kerr
Anna Campbell,249.9213404,True,Anna,Campbell
Marie Walters,73.38808729,False,Marie,Walters
Robert Martin,38.22288302,False,Robert,Martin
Marc Davis,162.2802619,True,Marc,Davis
James Dixon,159.3794328,True,James,Dixon
Vicki Ramirez,186.1602427,True,Vicki,Ramirez
Krista Campbell,161.2338436,True,Krista,Campbell
Lauren Patterson,170.2123273,True,Lauren,Patterson
Megan Clark,290.2581556,True,Megan,Clark
Judy Zimmerman,219.5888255,True,Judy,Zimmerman
Joseph Williams MD,210.7841859,True,Joseph,Williams
Lori Acevedo,210.6602899,True,Lori,Acevedo
William Taylor,275.6331763,True,William,Taylor
Dawn Snyder,248.9840417,True,Dawn,Snyder
Jennifer Simmons,80.68353707,False,Jennifer,Simmons
Alyssa Nunez,163.8009002,True,Alyssa,Nunez
Robert Black,63.92800482,False,Robert,Black
Julia Young,239.2396683,True,Julia,Young
Melinda Barnes,227.2506352,True,Melinda,Barnes
Mr. Brett Armstrong,154.1341836,True,Brett,Armstrong
Erik Stevenson,246.0040722,True,Erik,Stevenson
Daniel George,34.80089308,False,Daniel,George
Lindsey Jones,197.7020395,True,Lindsey,Jones
Virginia Lopez,227.4255915,True,Virginia,Lopez
Andrew Brown,92.88318049,False,Andrew,Brown
Donna Lowery,264.8326094,True,Donna,Lowery
Alexis Andrade,6.313985183,False,Alexis,Andrade
Alyssa Pierce,47.74032516,False,Alyssa,Pierce
Tara Johnson,38.26768696,False,Tara,Johnson
Michael Brady,162.0594322,True,Michael,Brady
James Rhodes,51.92414009,False,James,Rhodes
Pamela Scott,42.43333392,False,Pamela,Scott
Martin Ward,170.9498248,True,Martin,Ward
Kristina Hernandez,107.6915718,True,Kristina,Hernandez
Robert Bush,87.18004191,False,Robert,Bush
Rebecca Larson,214.3895725,True,Rebecca,Larson
Brittany Watson,190.520018,True,Brittany,Watson
Ryan Ramirez,249.7287913,True,Ryan,Ramirez
Edward Burns,87.64996993,False,Edward,Burns
John Prince,31.73842034,False,John,Prince
Ashley Boyer,107.6625992,True,Ashley,Boyer
James Dean,61.6954542,False,James,Dean
Natalie Gordon,268.2800094,True,Natalie,Gordon
Ryan Smith,136.207813,True,Ryan,Smith
Stephen Thompson,54.29639714,False,Stephen,Thompson
William Delgado,96.25442517,False,William,Delgado
Brian Johnson,124.929208,True,Brian,Johnson
James Patel,216.6056429,True,James,Patel
Allen Rogers,145.4342467,True,Allen,Rogers
Aimee Reyes,277.6656815,True,Aimee,Reyes
Susan Williams,255.2153532,True,Susan,Williams
Edward Griffin,108.6205222,True,Edward,Griffin
Debra Baker,296.5003089,True,Debra,Baker
Yvette Kramer,279.9371174,True,Yvette,Kramer
Alyssa Williams DVM,270.8972241,True,Alyssa,Williams
John Cunningham,173.0242833,True,John,Cunningham
Dana Gilbert,86.51917139,False,Dana,Gilbert
Stephen Henry,146.1515578,True,Stephen,Henry
Bradley James,137.9824935,True,Bradley,James
Melinda Peters,16.83003044,False,Melinda,Peters
Robert Goodman,213.5423984,True,Robert,Goodman
Leslie Moore,195.9630799,True,Leslie,Moore
Sarah Gray,270.7947288,True,Sarah,Gray
Amy Haynes,258.5062773,True,Amy,Haynes
Gary Dean,184.425152,True,Gary,Dean
Jonathan Duran,224.5361417,True,Jonathan,Duran
Elizabeth Ruiz,124.6694495,True,Elizabeth,Ruiz
Caitlin Lewis,196.3598959,True,Caitlin,Lewis
Micheal Blackburn,10.44317525,False,Micheal,Blackburn
Sheryl Mccarthy,159.9519731,True,Sheryl,Mccarthy
Lisa Smith,150.9122679,True,Lisa,Smith
Jared Juarez,247.5606457,True,Jared,Juarez
Brett Castro,217.3328585,True,Brett,Castro
Jessica Murray,175.3022184,True,Jessica,Murray
Austin Coffey,16.25913962,False,Austin,Coffey
Shelly Jacobs,3.856762052,False,Shelly,Jacobs
Elizabeth Logan,298.7423281,True,Elizabeth,Logan
Cody Anderson,128.0814967,True,Cody,Anderson
Kayla Wood,256.052876,True,Kayla,Wood
Paul Singh DDS,157.9636169,True,Paul,Singh
James Mays,245.2433072,True,James,Mays
Thomas Moore,244.5914982,True,Thomas,Moore
Linda Pacheco,299.604007,True,Linda,Pacheco
Jenny Clark,66.32311808,False,Jenny,Clark
Patrick Guzman,223.4965981,True,Patrick,Guzman
Mr. Scott Peters,229.487331,True,Scott,Peters
John Stevenson,23.09927229,False,John,Stevenson
Kristina Brooks,154.6805826,True,Kristina,Brooks
Nancy Aguilar,63.38787527,False,Nancy,Aguilar
Robert Brown,132.7329536,True,Robert,Brown
Jessica Williams,255.9581577,True,Jessica,Williams
David Brown,290.5944806,True,David,Brown
Dorothy Munoz,242.56454,True,Dorothy,Munoz
Jason Lawson,76.09246622,False,Jason,Lawson
James Hall,167.9698314,True,James,Hall
Patricia Carpenter,46.08147123,False,Patricia,Carpenter
Jeff Cardenas,64.36052627,False,Jeff,Cardenas
Michelle Johnson,19.18945036,False,Michelle,Johnson
Frank Madden,17.34021424,False,Frank,Madden
George Tanner,291.4292653,True,George,Tanner
Dylan Johnson,40.65328581,False,Dylan,Johnson
Pamela King,282.4817647,True,Pamela,King
Jesse Frazier,95.66568525,False,Jesse,Frazier
Edward Russell,103.2235913,True,Edward,Russell
Diana Mcdonald,183.096436,True,Diana,Mcdonald
Randy Dawson,192.1441514,True,Randy,Dawson
Jasmine Williams,286.1692336,True,Jasmine,Williams
Robert Smith,124.219007,True,Robert,Smith
Sara Young,183.9944858,True,Sara,Young
Samantha Gonzalez,205.5899257,True,Samantha,Gonzalez
Christina Torres,286.2681619,True,Christina,Torres
Maria Bailey,141.9076294,True,Maria,Bailey
Charles Bartlett,94.22658657,False,Charles,Bartlett
Natalie Parker,238.0161589,True,Natalie,Parker
Paula Hernandez DDS,48.88381678,False,Paula,Hernandez
Jessica Jenkins,14.94777896,False,Jessica,Jenkins
Drew Henson,223.0761309,True,Drew,Henson
Michael Davis,17.98090899,False,Michael,Davis
Ian Ramos,23.68465648,False,Ian,Ramos
Anna Wright,235.5824596,True,Anna,Wright
Ashley Anderson,74.40865878,False,Ashley,Anderson
Jennifer Wright,298.1278773,True,Jennifer,Wright
Nicole Lopez,67.72888616,False,Nicole,Lopez
Tara Ellis,21.92761435,False,Tara,Ellis
Hannah Elliott,42.35003061,False,Hannah,Elliott
Gavin Rodriguez,116.3664242,True,Gavin,Rodriguez
Johnny Jackson,291.5968901,True,Johnny,Jackson
Martin Garrett,147.0670556,True,Martin,Garrett
Terri Hayes,167.3609673,True,Terri,Hayes
Adam Huang,260.8409357,True,Adam,Huang
Carolyn Garner,104.4106535,True,Carolyn,Garner
Lisa Lee,130.2202511,True,Lisa,Lee
Rodney Escobar,8.711600244,False,Rodney,Escobar
Michael Johnson,144.5450063,True,Michael,Johnson
Michelle Carter DVM,55.94822858,False,Michelle,Carter
John Dunn,81.5436983,False,John,Dunn
Terry Pierce,297.8661824,True,Terry,Pierce
David Buck,258.7910904,True,David,Buck
Jennifer Newman,149.3096363,True,Jennifer,Newman
Cynthia Lee,246.5934196,True,Cynthia,Lee
Sylvia Clark,299.5252351,True,Sylvia,Clark
Joseph Taylor,86.08285036,False,Joseph,Taylor
Kathleen Barton,37.4218087,False,Kathleen,Barton
Michael Harris Jr.,52.86340979,False,Michael Harris,Jr.
Eric Benson,172.1967218,True,Eric,Benson
Curtis Butler,44.51322087,False,Curtis,Butler
Brittany Le,51.04878875,False,Brittany,Le
Jeremiah Sims,101.161794,True,Jeremiah,Sims
David Davis,290.4227547,True,David,Davis
Tiffany Bond,181.4895479,True,Tiffany,Bond
Patricia Chen,61.60059465,False,Patricia,Chen
William Crawford,181.7603749,True,William,Crawford
Christina Roberts,29.28680092,False,Christina,Roberts
Jerome Scott,232.1441336,True,Jerome,Scott
Jeffery Walker,272.0840276,True,Jeffery,Walker
Todd Alvarez,212.1733632,True,Todd,Alvarez
John Henry,223.9911858,True,John,Henry
James Miles,156.3675778,True,James,Miles
Michael Downs,31.19720611,False,Michael,Downs
Kayla Wheeler,6.095911005,False,Kayla,Wheeler
Charles Martin,161.2752287,True,Charles,Martin
Harold Bennett,135.042355,True,Harold,Bennett
Michael Swanson,200.3923528,True,Michael,Swanson
Janet Mcdonald,79.80353707,False,Janet,Mcdonald
Brett Willis,244.4064115,True,Brett,Willis
Jacob Smith,27.92322882,False,Jacob,Smith
Alexa Webb,167.5688585,True,Alexa,Webb
Louis Klein,40.12200004,False,Louis,Klein
Tony Yu,15.74238645,False,Tony,Yu
Lisa Goodman,121.0784096,True,Lisa,Goodman
Kimberly Hernandez,36.97352302,False,Kimberly,Hernandez
Phillip Friedman,145.8418308,True,Phillip,Friedman
Brian Lam,2.900394487,False,Brian,Lam
Kristin Wilkins,251.8510287,True,Kristin,Wilkins
Joshua Lynch,188.878111,True,Joshua,Lynch
Blake Mclaughlin,276.6512157,True,Blake,Mclaughlin
Billy Olsen,10.00480704,False,Billy,Olsen
Shawn Brock,179.6158086,True,Shawn,Brock
Danielle Jones,222.6952076,True,Danielle,Jones
Jim Gomez,60.12919733,False,Jim,Gomez
Sabrina Henderson,178.7453853,True,Sabrina,Henderson
David Pennington,245.3184012,True,David,Pennington
Deborah Williams,137.015971,True,Deborah,Williams
Stephanie Bowman,227.0047204,True,Stephanie,Bowman
Joseph Frazier,176.4533023,True,Joseph,Frazier
Ryan Mclaughlin,249.864376,True,Ryan,Mclaughlin
Tony Hall,135.8550959,True,Tony,Hall
Timothy Martin,289.2653637,True,Timothy,Martin
John Obrien,261.8481216,True,John,Obrien
Barbara Johnson,53.80589508,False,Barbara,Johnson
Brandon Marshall,139.8477827,True,Brandon,Marshall
Carrie Miller,11.55550873,False,Carrie,Miller
Samantha Dean,261.6193407,True,Samantha,Dean
Jamie Wilson,87.74932378,False,Jamie,Wilson
Carlos Acosta,236.6035296,True,Carlos,Acosta
Amy Bennett,228.7494578,True,Amy,Bennett
Dominique Wells,116.6435954,True,Dominique,Wells
Sarah Bright,237.5160783,True,Sarah,Bright
Michael Barton,111.5883392,True,Michael,Barton
Rebecca Anderson,172.3062642,True,Rebecca,Anderson
Megan Riggs,31.41542458,False,Megan,Riggs
Whitney Andrews,44.1176993,False,Whitney,Andrews
Catherine Jones,127.0135122,True,Catherine,Jones
William Andrews,236.2180763,True,William,Andrews
Kathleen Edwards,158.3239538,True,Kathleen,Edwards
Roger Frost,220.4688874,True,Roger,Frost
Justin Johnson,255.8491608,True,Justin,Johnson
Valerie Young,265.1702577,True,Valerie,Young
Samantha Perez,239.9469797,True,Samantha,Perez
Devin Allen,72.15833791,False,Devin,Allen
Stephanie Little,238.9238728,True,Stephanie,Little
Melanie Miller,27.5070475,False,Melanie,Miller
Erica Beck,2.408526397,False,Erica,Beck
Toni Dunn,168.373362,True,Toni,Dunn
Eric Dunn,211.8975891,True,Eric,Dunn
David Jackson,169.3550529,True,David,Jackson
Melanie Gates,94.66629008,False,Melanie,Gates
Heather Pierce,17.41061969,False,Heather,Pierce
Jordan Lewis,153.0146174,True,Jordan,Lewis
Michele Johnson,255.7149801,True,Michele,Johnson
Samantha Ryan,249.4925261,True,Samantha,Ryan
Christopher Hudson,201.9997518,True,Christopher,Hudson
Zachary Williams,106.5992164,True,Zachary,Williams
Donna Davis,66.72879991,False,Donna,Davis
Jordan Erickson,237.7720748,True,Jordan,Erickson
Christopher Nolan,88.7427826,False,Christopher,Nolan
Evelyn Hanna,11.36458787,False,Evelyn,Hanna
Jason Johnson,250.2314702,True,Jason,Johnson
Barbara Caldwell,224.7115849,True,Barbara,Caldwell
Ronald Huff,7.220543464,False,Ronald,Huff
Holly Norris,216.2305109,True,Holly,Norris
Derrick Carter,11.83791299,False,Derrick,Carter
Kenneth Golden,285.8508169,True,Kenneth,Golden
Grace Edwards,70.08655795,False,Grace,Edwards
Jonathan Rios,57.71259736,False,Jonathan,Rios
Mackenzie Miller,265.5941732,True,Mackenzie,Miller
Tammy Taylor,138.8559857,True,Tammy,Taylor
Reginald King,207.3305606,True,Reginald,King
Matthew Fletcher,130.5591612,True,Matthew,Fletcher
Elizabeth Jordan,177.7124355,True,Elizabeth,Jordan
Sally Santiago,45.11902986,False,Sally,Santiago
James Johnson,12.89573538,False,James,Johnson
Jason Saunders,242.8437386,True,Jason,Saunders
Carol Hernandez,4.624370641,False,Carol,Hernandez
Kendra Dawson,291.5212704,True,Kendra,Dawson
James Hess DDS,58.42698092,False,James,Hess
Michael Stokes,25.51886602,False,Michael,Stokes
Jeffrey Martinez,147.6903791,True,Jeffrey,Martinez
Joseph Bell,102.9874282,True,Joseph,Bell
Pamela Black,140.719389,True,Pamela,Black
Robert Jordan,100.4711011,True,Robert,Jordan
Kathy Baker,263.5511899,True,Kathy,Baker
Brian Bailey,115.3628316,True,Brian,Bailey
Mitchell Clark,190.2857937,True,Mitchell,Clark
Kelly Mcintyre,168.7344269,True,Kelly,Mcintyre
Susan Ali,260.5821259,True,Susan,Ali
Latoya Gonzales,205.0424222,True,Latoya,Gonzales
Olivia Mayo,251.5393163,True,Olivia,Mayo
Thomas Anderson,221.0320214,True,Thomas,Anderson
Todd Jennings,182.3938507,True,Todd,Jennings
Paul Dixon,22.25760841,False,Paul,Dixon
Julie Torres,130.6787559,True,Julie,Torres
James Miller,202.2296492,True,James,Miller
John Howard,80.73869922,False,John,Howard
Anne Savage,134.0405497,True,Anne,Savage
Richard Wilson,226.8917134,True,Richard,Wilson
Mrs. Amber Esparza,187.5777824,True,Amber,Esparza
